feature,mean_abs_shap
vital_resp_mean_7d,0.0
vital_weight_min_30d,0.0
vital_weight_max_7d,0.0
vital_weight_max_30d,0.0
med_n_doses_sum_7d,0.0
med_is_refused_sum_7d,0.0
med_is_missed_sum_7d,0.0
med_is_anticoagulant_sum_7d,0.0
med_is_opioid_sum_7d,0.0
med_is_diuretic_sum_7d,0.0
med_is_psychotropic_sum_7d,0.0
vital_weight_pct_change_30d,0.0
flag_fever,0.0
flag_hypoglycemia,0.0
flag_bradycardia,0.0
flag_tachycardia,0.0
flag_bp_high,0.0
flag_bp_low,0.0
flag_pain_high,0.0
med_is_psychotropic_mean_7d,0.0
med_is_psychotropic_mean_30d,0.0
med_is_opioid_mean_30d,0.0
med_is_diuretic_mean_30d,0.0
med_is_anticoagulant_mean_30d,0.0
med_is_missed_mean_30d,0.0
med_is_late_mean_30d,0.0
med_is_diuretic_mean_7d,0.0
med_is_opioid_mean_7d,0.0
med_n_doses_mean_7d,0.0
med_is_refused_mean_7d,0.0
med_is_missed_mean_7d,0.0
med_is_anticoagulant_mean_7d,0.0
med_is_anticoagulant_sum_30d,0.0
med_is_opioid_sum_30d,0.0
med_is_psychotropic_sum_30d,0.0
med_n_doses_sum_30d,0.0
tag_uti_symptoms_n_sum_30d,0.0
tag_wound_infection_symptoms_n_sum_30d,0.0
tag_skin_wound_assessment_n_sum_30d,0.0
tag_wound_care_n_sum_30d,0.0
tag_fall_n_sum_30d,0.0
med_polypharmacy_flag,0.0
med_miss_rate_30d,0.0
med_n_unique_drugs_30d,0.0
med_n_doses_mean_30d,0.0
med_is_refused_mean_30d,0.0
tag_weight_progress_note_n_sum_30d,0.0
tag_antibiotic_therapy_n_sum_30d,0.0
tag_physician_notification_n_sum_30d,0.0
tag_refusal_n_sum_30d,0.0
tag_pain_intervention_n_sum_30d,0.0
tag_aggressive_behavior_n_sum_30d,0.0
prior_fall_n_sum_90d,0.0
lab_n_lab_sum_30d,0.0
lab_is_critical_sum_30d,0.0
lab_is_abnormal_sum_30d,0.0
tag_family_responsible_n_sum_30d,0.0
tag_total_highrisk_30d,0.0
tag_monitor_side_effects_n_sum_30d,0.0
tag_pain_progress_note_n_sum_30d,0.0
tag_nutrition_plan_n_sum_30d,0.0
prior_rth_n_sum_30d,0.0
prior_rth_n_sum_90d,0.0
prior_altercation_n_sum_90d,0.0
prior_wound_n_sum_90d,0.0
prior_wound_n_sum_30d,0.0
prior_altercation_n_sum_30d,0.0
prior_rth_ever,0.0
